All,Alle
None,Ingen
"Allowed Scopes","Tilladte Scopes"
"You need more permissions to apply some of the rule updates.","Du har ikke tilladelse til at opdaterer reglen."
"More permissions are needed to save this item.","Flere rettigheder er nødvendig for at gemme dette."
"You need more permissions to access website ""%1"".","Du har ikke rettigheder til at tilgå website ""%1""."
"Role Scopes","Forretningsvisnings roller"
Custom,Brugerdefineret
"Read Details","Læs detaljer"
"Mark as Read","Marker som læst"
"Are you sure?","Er du sikker?"
Remove,Fjern
"Messages Inbox",Indbakke
"You have %1 new system messages","Du har %1 nye systembeskeder"
"You have %1 new system message","Du har %1 ny systembesked"
"Incoming Message",Beskeder
close,luk
Notifications,Meddelelser
"The message has been marked as Read.","Meddelelsen er markeret som læst."
"We couldn't mark the notification as Read because of an error.","Vi kunne ikke markerer beskeden som læst."
"Please select messages.","Vælg beskeder."
"A total of %1 record(s) have been marked as Read.","%1 besked(er) er nu markeret som læst."
"Total of %1 record(s) have been removed.","%1 besked(er) er blevet slettet."
"We couldn't remove the messages because of an error.","Vi kunne ikke slette bedskederne på grund af en fejl."
"The message has been removed.","Beskeden er blevet slettet."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Du har set og løst alle de seneste system notifikationer. Opdater venligst webside for at rydde notifikation advarselen."
"1 Hour","1 time"
"2 Hours","2 timer"
"6 Hours","6 timer"
"12 Hours","12 timer"
"24 Hours","24 timer"
critical,kritisk
major,alvorlig
minor,mindre
notice,info
"Wrong message type","Forkert beskedtype"
"Wrong notification ID specified.","Forkert besked ID angivet."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Vi anbefaler ikke at bruge {{base_url}} i et produktionsmiljø. Du kan ændre denne værdi i din Magento <a href=""%1"">konfiguration</a>."
"One or more of the Cache Types are invalidated: %1. ","En eller flere cachetyper er forældede: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Klik her for at gå til<a href=""%1""> Cachestyring</a> og forny cachen."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Vi var ikke i stand til at synkronisere en eller flere mediefiler. Se venligst detaljer i logfilen."
"Synchronization of media storages has been completed.","Synkronisering af mediebiblioteket er fuldført."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Webserveren er konfigureret forkert og giver uautoriseret adgang til følsomme filer. Kontakt din hosting udbyder."
"System Messages:",Systembeskeder:
"Critical System Messages","Kritiske systembeskeder"
"Major System Messages","Alvorlige systembeskeder"
"System messages",Systembeskeder
Close,Luk
"See All (","Vis alle ("
" unread)"," ulæst)"
"Show Toolbar","Vis værktøjslinje"
"Show List","Vis liste"
"Use HTTPS to Get Feed","Brug HTTPS for at hente et feed"
"Update Frequency","Opdater frekvens"
"Last Update","Sidst opdateret"
Severity,Alvorlighed
"Date Added","Dato tilføjet"
Message,Besked
Actions,Handlinger
"Manage Shopping Cart","Administrer indkøbskurv"
"Create Order","Opret ordre"
Back,Tilbage
"Add Products","Tilføj produkter"
"Update Items and Quantities","Opdater varer og antal"
"Are you sure you want to clear your cart?","Er du sikker på du vil tømme din kurv?"
"Clear my shopping cart","Tøm min kurv"
"Add selections to my cart","Tilføj til min kurv"
Cancel,Annuller
"Shopping Cart for %1 in %2","Indkøbskurv for %1 i %2"
"Select products you want to buy","Vælg produkter du ønsker at købe"
Product,Produkt
Price,Pris
Quantity,Antal
"Products in the Comparison List (%1)","Produkter på sammenlignings listen (%1)"
"Last ordered items (%1)","Sidste bestilte varer (%1)"
Products,Produkter
SKU,Varenummer
"Recently Compared Products (%1)","Nyligt sammenlignede produkter (%1)"
"Recently Viewed Products (%1)","Nyligt viste produkter (%1)"
"Add to Shopping Cart by SKU","Tilføj til indkøbskurv ved SKU"
"Add to Shopping Cart","Tilføj til indkøbskurv"
"Wish List (%1)","Ønskeliste (%1)"
Apply,Anvend
Configure,Konfigurer
"Add to Order by SKU","Føj til ordren med SKU"
"Add to Order","Tilføj til ordre"
"Add Products to Order","Tilføj produkter til ordre"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produkt(er) kræver opmærksomhed.</span>"
"Remove All","Fjern alle"
"Only %1%2%3 left in stock","Kun %1%2%3 tilbage på lager"
"You can buy up to %1 of these per purchase.","Du kan købe til %1 af disse pr. køb."
"You must buy at least %1 of these per purchase.","Du skal købe mindst %1 af disse pr. køb."
"Specify the product's options.","Angiv produktets muligheder."
"Alert me when this item is available.","Giv mig besked, når varen er tilgængelig."
"Shopping cart management is disabled for this customer.","Shopping cart management er deaktiveret for denne kunde."
Customers,Kunder
"Shopping Cart",Indkøbskurv
"You do not have access to this.","Du har ikke adgang til dette."
"An error has occurred. See error log for details.","Der opstod en fejl. Se fejlloggen for detaljer."
"You cannot configure a product.","Du kan ikke konfigurere et produkt."
"You removed the items.","Du har fjernet varene."
"You removed the item.","Du har fjernet varen."
"You added %1 to your shopping cart.","Du har tilføjet %1 til din indkøbskurv."
"You cannot add a product.","Du kan ikke tilføje et produkt."
"Order by SKU","Rækkefølge af SKU"
"The SKU was not found in the catalog.","SKU blev ikke fundet i kataloget."
"Availability: Out of stock.","Tilgængelighed: Ikke på lager."
"We don't have as many of these as you want.","Det ønskede antal er ikke tilgængelig."
"You can't add this many to your cart.","Du kan ikke tilføje det ønskede antal til din kurv."
"You need to choose options for your item.","Der mangler at blive taget et valg eller der er foretaget et ugyldigt valg."
"We can't add the item to your cart.","Du kan ikke tilføje denne vare til din kurv."
"Please enter an actual number in the ""Qty"" field.","Angiv venligst et reelt tal i feltet ""Antal""."
"This product is assigned to another website.","Dette produkt er tildelt til en anden hjemmeside."
"You can add only enabled products.","Du kan tilføje kun aktiverede produkter."
"You cannot upload this file.","Du kan ikke overføre denne fil."
"The file is empty.","Filen er tom."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Du har ikke angivet et produkt SKU. Venligst <a href=""%1""> Klik her</a> for at tilføje produkt(er) i SKU."
"You have not entered a product SKU.","Du har ikke angivet et produkt SKU."
"We can't add a product to cart by id ""%1"".","Vi kan ikke tilføje produktet til indkøbsvognen med id ""%1""."
"Something went wrong while reordering this product.","Noget gik galt under genbestilling af dette produkt."
"We can't find this wish list.","Vi kan ikke finde denne ønskeseddel."
"You added %1 product to your shopping cart.","Du har tilføjet %1 vare til indkøbsvognen."
"You added %1 products to your shopping cart.","Du har tilføjet %1 vare til indkøbsvognen."
"%1 product requires your attention.","%1 produkt kræver opmærksomhed."
"%1 products require your attention.","%1 produkt kræver opmærksomhed."
"Yes, for Specified Customer Groups","Ja, for bestemte kundegrupper"
"Yes, for Everyone","Ja, for alle"
No,Nej
"Please upload the file in .csv format.","Upload fil i .csv-format."
"%1 item(s) need your attention.","%1 vare(r) har brug for din opmærksomhed."
"Apply Coupon Code","Anvend rabatkode"
"Remove Coupon Code","Fjern rabatkode"
"The coupon code ""%1"" is not valid.","Rabatkoden ""%1"" er ikke gyldig."
"Shopping Cart Items","Indhold af indkøbsvogn"
Qty,Antal
Discount,Rabat
"Row Subtotal","Række Subtotal"
Action,Handling
"No ordered items","Ingen bestilte varer"
"Total %1 product(s)","Samlede %1 produkt(er)"
"Please select","Vælg venligst"
"Move to Wish List","Flyt til ønskeseddel"
"No item specified.","Ingen vare angivet."
"Are you sure you want to remove this item?","Er du sikker på at du vil fjerne dette element?"
"SKU number",Varenummer
"Upload File","Upload fil"
"Your csv file must include ""sku"" and ""qty"" columns.","Din CSV-fil skal indeholde kolonnerne ""sku"" og ""antal""."
Reset,Nulstil
"SKU: ","Varenummer: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Kun <span id=""%1_max_allowed"">%2</span> på lager"
Item,Vare
"See price before order confirmation.","Se prisen før ordrebekræftelse."
"What's this?","Hvad er dette?"
"Incl. Tax","Inkl. moms"
"Excl. Tax","Ekskl. moms"
"Edit item parameters","Rediger vare indstillinger"
Edit,Redigér
"Remove item","Fjern vare"
"Products Requiring Attention","Produkter, der kræver opmærksomhed"
"Add to Cart","Læg i kurv"
Sku,Varenummer
File,Fil
"File extensions allowed: .csv","Filtyper der er tilladt: .csv"
"Add Row","Tilføj række"
"Remove Row","Fjern række"
"Add Products By SKU","Tilføj produkter med SKU"
"Shopping Cart Management","Indkøbsvogn styring"
"View Shopping Cart","Se indkøbskurv"
"View and modify Shopping Cart","Få vist og Rediger indkøbskurv"
"Order by SKU Settings","Bestil efter SKU indstillinger"
"Enable Order by SKU on My Account in Storefront","Aktiver SKU ordre på min konto på shoppens forside"
"Customer Groups",Kundegrupper
"Apply Coupon","Anvend rabatkode"
"Order by SKU Description","Rækkefølge af SKU beskrivelse"
"Display a Link to Loading a Spreadsheet","Vise et Link til indlæsning af regneark"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definerer, om et link til min konto &gt; rækkefølge af SKU side vises på widget"
"Link Text","Link tekst"
"The text of the link to the My Account &gt; Order by SKU page","Teksten i linket til min konto &gt; Sorter efter SKU side"
"Load a list of SKUs","Indlæs en liste over SKU'er"
"Order by SKU Template","Rækkefølge af SKU skabelon"
"Please correct the data sent.","Venligst korrigere data, der sendes."
"Entity type model '%1' is not found","Enheds type model '%1' findes ikke"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Enhedstypemodellern skal være følgende typer\Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Der er ingen varetyper til eksport"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 klasse implementerer ikke \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Salgs regel"
"Index sales rule","Indeks salgs regel"
"Related Search Terms","Relaterede søgninger"
"Add New Search Term","Tilføj nye søgninger"
"Missing search engine parameter.","Manglende søgemaskineparameter."
"Successful! Test again?","Succes! Test igen?"
"Connection failed! Test again?","Tilslutning mislykkedes! Test igen?"
"Enable Search Recommendations","Aktiver søgemaskine anbefalinger"
"When you enable this option your site may slow down.","Når du aktiverer denne funktion kan det sløve dit site."
"Search Recommendations Count","Søge anbefalinger antal"
"Show Results Count for Each Recommendation","Antal søge resultater for hver anbefaling"
"Enable Search Suggestions","Aktiver søgeforslag"
"Search Suggestions Count","Søg blandt forslag antal"
"Show Results Count for Each Suggestion","Vis resultater tæller for hvert forslag"
"Related search terms","Relaterede søgeord"
"Did you mean","Mente du"
"Search Query",Søgning
Store,Butik
Results,Resultater
Uses,Anvendelser
"Redirect URL","Omdirigere URL"
"Suggested Term","Foreslået søgning"
Yes,Ja
"RPC call failed, connection timed out after %time_out.","RPC kald fejlede, forbindelsen fik timeout efter %time_out."
"Message has been rejected: %1","Beskeden er blevet afvist: %1"
"Error while checking if topic is synchronous","Fejl under kontrol, hvis emne er ens"
"Subscription status",Abonnementsstatus
"Sorry, there has been an error processing your request. Please try again later.","Desværre, der er sket en fejl under behandling af din anmodning. Prøv igen senere."
"Cron settings can't be saved","Cron indstillinger kan ikke gemmes"
"There was an error save new configuration value.","Der opstod en fejl da ny konfigurationsværdien skulle gemmes."
"Please select an industry.","Vælg venligst en branche."
"--Please Select--",--Vælg--
"These arguments can't be empty ""%1""","Disse argumenter må ikke være tomme ""%1"""
"Cannot find predefined integration user!","Kan ikke finde foruddefinerede integrationsbruger!"
"File is not ready yet.","Filen er ikke klar endnu."
